Date,Open,High,Low,Close,Adj Close,Volume
2019-01-16,78.400002,78.400002,77.599998,77.699997,76.748573,70123
2019-01-17,77.550003,78.150002,77.199997,77.900002,76.946129,241711
2019-01-18,77.500000,77.900002,75.650002,77.699997,76.748573,930131
2019-01-21,77.650002,78.099998,75.349998,76.900002,75.958374,637519
2019-01-22,76.650002,77.400002,75.849998,76.400002,75.464493,225629
2019-01-23,75.750000,76.650002,75.199997,75.699997,74.773056,336627
2019-01-24,75.949997,77.000000,75.949997,76.699997,75.760818,449114
2019-01-25,77.050003,77.900002,76.750000,77.050003,76.106537,128516
2019-01-28,77.349998,77.400002,75.849998,76.000000,75.069389,253821
2019-01-29,76.050003,76.250000,74.050003,74.500000,73.587753,339187
2019-01-30,74.000000,74.099998,69.849998,70.500000,69.636734,3384403
2019-01-31,70.800003,71.349998,68.699997,69.500000,68.648979,1139917
2019-02-01,69.849998,70.500000,69.500000,69.750000,68.895920,589521
2019-02-04,70.000000,71.550003,69.900002,70.400002,69.537964,282809
2019-02-05,70.800003,71.949997,70.349998,71.599998,70.723267,399169
2019-02-06,72.300003,72.300003,70.800003,70.849998,69.982452,354527
2019-02-07,70.900002,71.400002,69.800003,69.900002,69.044083,240805
2019-02-08,69.599998,70.199997,69.250000,69.550003,68.698372,133402
2019-02-11,69.400002,69.500000,68.550003,68.699997,67.858772,301084
2019-02-12,69.199997,69.699997,68.650002,68.750000,67.908165,191041
2019-02-13,68.699997,68.949997,67.150002,68.300003,67.463676,640403
2019-02-14,63.000000,63.000000,56.500000,57.000000,56.302040,3346863
2019-02-15,57.599998,59.599998,57.599998,59.250000,58.524490,1742223
2019-02-18,60.000000,63.099998,59.599998,62.599998,61.833469,909828
2019-02-19,63.000000,63.000000,60.250000,60.799999,60.055511,1255286
2019-02-20,61.200001,62.299999,61.000000,61.750000,60.993877,585107
2019-02-21,61.799999,63.200001,61.450001,63.200001,62.426125,871503
2019-02-22,63.500000,64.449997,62.900002,63.400002,62.623676,406699
2019-02-25,64.300003,64.349998,62.650002,62.950001,62.179184,231460
2019-02-26,63.000000,63.349998,62.599998,63.099998,62.327347,174990
2019-02-27,63.049999,63.049999,61.750000,62.099998,61.339592,105607
2019-02-28,62.000000,63.200001,61.500000,62.849998,62.080406,220261
2019-03-01,63.000000,63.900002,62.849998,63.349998,62.574284,423927
2019-03-04,63.450001,64.849998,63.250000,63.700001,62.920002,230214
2019-03-05,63.700001,64.250000,62.900002,63.400002,62.623676,301722
2019-03-06,63.400002,63.400002,62.099998,62.299999,61.537144,638576
2019-03-07,62.349998,62.400002,61.250000,61.650002,60.895103,95197
2019-03-08,61.549999,61.650002,59.849998,60.500000,59.759186,233782
2019-03-11,60.500000,61.950001,60.500000,61.849998,61.092651,221843
2019-03-12,61.950001,63.150002,61.500000,61.599998,60.845715,175631
2019-03-13,61.250000,62.000000,60.650002,61.250000,60.500000,188471
2019-03-14,61.299999,61.700001,59.299999,60.150002,59.413471,995320
2019-03-15,60.500000,60.950001,59.799999,60.250000,59.512245,525858
2019-03-18,60.250000,60.599998,59.900002,60.150002,59.413471,213494
2019-03-19,60.150002,60.200001,59.200001,59.500000,58.771431,992245
2019-03-20,59.500000,59.599998,58.599998,58.799999,58.080002,282259
2019-03-21,58.750000,59.000000,57.750000,58.099998,57.388573,323630
2019-03-22,58.599998,58.700001,57.200001,57.849998,57.141632,328993
2019-03-25,57.900002,59.000000,57.400002,58.150002,57.437962,130003
2019-03-26,58.500000,59.349998,57.849998,58.750000,58.030613,230492
2019-03-27,59.150002,59.150002,58.000000,58.450001,57.734287,132608
2019-03-28,49.220001,49.560001,46.580002,47.220001,46.641796,4404035
2019-03-29,47.700001,47.980000,46.279999,46.799999,46.226940,1969632
2019-04-01,47.160000,47.700001,46.099998,47.240002,46.661552,885118
2019-04-02,47.299999,47.480000,46.500000,46.900002,46.325718,710154
2019-04-03,46.840000,47.400002,46.459999,47.400002,46.819595,845882
2019-04-04,47.400002,47.580002,45.840000,46.599998,46.029388,1113462
2019-04-05,46.639999,47.200001,46.500000,46.660000,46.088654,918550
2019-04-08,46.700001,48.720001,46.560001,48.520000,47.925880,592047
2019-04-09,48.279999,48.279999,47.360001,47.500000,46.918369,651692
2019-04-10,47.720001,47.799999,46.820000,47.500000,46.918369,393459
2019-04-11,47.480000,49.380001,47.419998,49.000000,48.400002,453908
2019-04-12,49.020000,49.020000,47.279999,47.799999,47.799999,578279
2019-04-15,48.080002,48.500000,47.660000,48.299999,48.299999,355412
2019-04-16,48.380001,49.000000,47.900002,48.080002,48.080002,512538
2019-04-17,48.080002,48.160000,46.799999,47.080002,47.080002,452420
