Date,ma50,ma200
2020-01-16,942.32,905.38
2020-01-16,942.32,905.38
2020-01-16,942.32,905.38
2020-01-16,942.32,905.38
2020-01-16,942.32,905.38
2020-01-16,942.32,905.38
2020-01-16,942.32,905.38
